id	ano	tipo_item	classificação	Cultivar	Quantidade (Kg)
1	2001	subtotal	Uvas de mesa	TINTAS	23.660
2	2001	item	Uvas de mesa	Alphonse Lavallee	3.613
3	2001	item	Uvas de mesa	Moscato de Hamburgo	20.047
4	2001	subtotal	Uvas de mesa	BRANCAS	118.013
5	2001	item	Uvas de mesa	Cardinal	-
6	2001	item	Uvas de mesa	Golden Queen	-
7	2001	item	Uvas de mesa	Patrícia	23.661
8	2001	item	Uvas de mesa	Perlona	94.352
9	2001	item	Uvas de mesa	Italia	-
10	2001	item	Uvas de mesa	Rubi (Itália, Itália Ro)	-
11	2001	item	Uvas de mesa	Total	141.673
12	2001	total	Uvas de mesa	Total	141.673
