id	ano	tipo_item	classificação	Cultivar	Quantidade (Kg)
1	2022	subtotal	Viníferas	TINTAS	*
2	2022	item	Viníferas	Alicante Bouschet	*
3	2022	item	Viníferas	Ancelota	*
4	2022	item	Viníferas	Aramon	*
5	2022	item	Viníferas	Alfrocheiro	*
6	2022	item	Viníferas	Arinarnoa	*
7	2022	item	Viníferas	Aspirant Bouschet	*
8	2022	item	Viníferas	Barbera	*
9	2022	item	Viníferas	Bonarda	*
10	2022	item	Viníferas	Cabernet Franc	*
11	2022	item	Viníferas	Cabernet Sauvignon	*
12	2022	item	Viníferas	Caladoc	*
13	2022	item	Viníferas	Campanario	*
14	2022	item	Viníferas	Canaiolo	*
15	2022	item	Viníferas	Carignan	*
16	2022	item	Viníferas	Carmenere	*
17	2022	item	Viníferas	Castelão	*
18	2022	item	Viníferas	Corvina	*
19	2022	item	Viníferas	Croatina	*
20	2022	item	Viníferas	Cinsaut	*
21	2022	item	Viníferas	Dom Felder	*
22	2022	item	Viníferas	Dolcetto	*
23	2022	item	Viníferas	Durif	*
24	2022	item	Viníferas	Egiodola	*
25	2022	item	Viníferas	Ekigaina	*
26	2022	item	Viníferas	Festival (Sugraone)	*
27	2022	item	Viníferas	Franconia	*
28	2022	item	Viníferas	Freisa	*
29	2022	item	Viníferas	Gamay St Romain	*
30	2022	item	Viníferas	Gamay Beaujolais	*
31	2022	item	Viníferas	Grand Noir	*
32	2022	item	Viníferas	Grenache	*
33	2022	item	Viníferas	Jaen	*
34	2022	item	Viníferas	Lagrein	*
35	2022	item	Viníferas	Lambrusco	*
36	2022	item	Viníferas	Malbec	*
37	2022	item	Viníferas	Marzemina	*
38	2022	item	Viníferas	Merlot	*
39	2022	item	Viníferas	Marselan	*
40	2022	item	Viníferas	Molinera	*
41	2022	item	Viníferas	Montepulciano	*
42	2022	item	Viníferas	Moscato Bailey	*
43	2022	item	Viníferas	Napa Gamay	*
44	2022	item	Viníferas	Nebbiolo	*
45	2022	item	Viníferas	Petit Verdot	*
46	2022	item	Viníferas	Petite Sirah	*
47	2022	item	Viníferas	Pinotage	*
48	2022	item	Viníferas	Pinot Noir	*
49	2022	item	Viníferas	Pinot Saint George	*
50	2022	item	Viníferas	Piriquita	*
51	2022	item	Viníferas	Rebo	*
52	2022	item	Viníferas	Refosco	*
53	2022	item	Viníferas	Rondinella	*
