id,pais,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,África do Sul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
2,Alemanha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8698,0,0,3775,3219,1081,13739,26351,35666,8835,13994,5905,36270,71405,37195,23381,33623,25465,6469,17155,407,7724,1704
3,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6876,0,0,0,921,38170,14816,1276,0,735,1833,1075,9971,32545,12825,45057,776671,15100,1499,26910,29289,0,1100,0,343,4622,62,0,167971,371315
4,Antigua e Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,360,92,211,124
5,Antilhas Holandesas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1840,0,74910,0,0,0,0,0,0,0,0,0,0,0,0
6,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52740,26328,0,0,0,0,0,276,0,27929,3324,0,320739,0,0,0,0,0,0,0,0,0,0,0,0,0,21585,0,1209,0,0,81832
7,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
8,Australia,0,0,0,0,0,0,0,0,0,0,0,11563,95080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12374,6576,4569,1603,3196,2871,0,980,647,838,0,16
9,Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941,8035,2376,2970,0,0,0,0,22,97,1467,640,250,333
10,Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
11,Barbados,0,0,0,0,0,495,2491,2467,2401,1035,4095,3393,1754,885,945,117,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,62,126,251
12,Belgica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21503,2844,794,0,62639,0,47490,7178,603317,6180,0,3096,12355,13274,0,0,0,0
13,Benin,0,0,0,0,0,0,0,0,0,0,0,0,32550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,22
14,Bermudas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0
15,Bolívia,60,558,621,439,648,1399,2394,974,1343,1465,1677,34499,2169,140,345,1784,3316,5758,249,17515,3742,6629,292,14593,20348,10055,0,6924,6211,49834,242408,9317,7141,24670,3105,45836,7929,7402,2635,0,17513,0,0,0,259,13773,15435,22724,31168,0,22895,86223,92723,45891
16,Bósnia-Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,329,0,0,0
17,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
19,Camarões,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20215,374,0,0,0,0,0
20,Canada,0,0,0,0,0,0,915,2947,1575,1725,6000,2700,2700,0,0,0,4665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693,8055,0,0,0,9610,5303,47180,15087,18226,4722,0,117,10413,3476,819,409,19495
21,Catar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3543,6729,969,0,0
22,"Cayman, Ilhas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,6,0,38
23,Chile,0,0,0,0,0,0,0,0,0,0,0,82920,0,0,0,0,0,0,0,0,0,0,0,0,0,725,0,0,0,0,3300,0,0,0,3003,0,251256,7695,0,10286,0,0,10954,0,0,0,52164,257135,234002,0,436,433,23,19407
24,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,0,0,1982,10024,28823,7367,41149,72259,25541,47317,78361,118169,133907,63264,43698,64107
25,Chipre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,1326,472,1313,895
26,Cingapura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2311,3760,985,0,0,0,813,0,0,0,182761,154846,0,0,0,0
27,Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92800,19920,81860,111640,1336,721,0,0,0,0,0,1158,0,218,0,0,2149,3195,10946,2989,99432,47487,71623,8824
28,"Coreia do Sul, Republica da",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3395,0,0,0,0,0,27747,0,1392,1912,18,147,77,282,40,296
29,Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,64,0,0,0,0,0,0,0,0,0,0,0
30,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
31,Curaçao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6799,3057,17049,10637,27158,18981,7827
32,Dinamarca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1837,17,603,0,0,0,4994,7217,19792,8213,5102,606,0,4192,326,2250,39,0,29149
33,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,2055,0
34,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,11,0,0,0,0,0
35,Emirados Arabes Unidos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,780,0,0,0,0,0,0,0,197,45,3330,0,748
36,Equador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48126,0,0,0,0,0,0,24804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,635,2540
37,Espanha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4089,0,0,5777,0,25843,0,0,0,69748,11724,5,259,0,0,898
38,Estados Unidos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208,50845,2500,10,30577,142834,104605,108298,607854,236670,295489,400985,639555,456123,176281,111318,165921,193225,201503,1413220,2281553,2924792,2696660,984253
39,Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2355,0,2251,0,0,0,0,0,0,0,0,0,0,0
