id,pais,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,África do Sul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10063,0,0,0,0,0,0,0,0,0,84097,0
2,"Alemanha, República Democrática da",0,0,16476,399397,0,154,0,336000,181000,208983,165790,789872,174720,326228,577648,287250,0,298500,0,349500,0,0,84630,214520,326959,504140,0,0,641514,1298109,1033310,1331689,0,0,0,0,0,0,0,0,0,0,2,9,61748,12,0,0,187,36,130,17,29,72
3,Angola,0,0,0,0,0,0,0,0,0,1676,0,0,0,0,0,4396,21701,14230,27896,31091,0,1814,1589,79,0,0,0,114,5053,1247,320,108,0,7985,25029,325325,11955,67135,124509,428764,14521,0,0,26600,4080,3117,16732,1345,3448,0,39393,11988,178375,124407
4,Antígua e Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,194,61,288,105,0
5,Antilhas Holandesas,0,0,2070,279,0,0,0,0,0,3739,0,0,0,0,0,0,0,0,0,0,0,0,1061,0,0,0,0,0,0,0,0,0,0,0,372,10012,0,0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Arábia Saudita,0,0,0,0,0,0,0,0,0,0,0,0,0,97386,170764,179156,314250,35320,95107,30243,34980,92210,85463,187233,217106,356839,371648,157989,124164,161226,158919,271451,108580,195948,302621,123292,212046,929638,172562,173280,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Argélia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0
8,Argentina,0,0,0,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0,78348,219731,309136,566640,0,486,0,0,16898,11553,0,2051,2725,11208,0,10628,10612,8239,6155,145547,36523,0,1025,6792,10684,6623,4253,6831,13349,19840,5905,4603
9,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22322,793,0,6669,0,0,0,8278,3021,0,0,0,0,0,0,0,0,0,1238,0,0,0
10,Austrália,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2120,0,38012,0,37024,81110,0,0,0,0,0,40439,139296,165360,53795,54723,57505,0,0,0,2306,3261,0,0,0,0,0,0,0,0,0,907,2686,3847,2773,2144,5577,111139,50038,29920
11,Áustria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008,1619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,337,75,1204,3885,1137
13,Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,654
14,Barbados,0,0,0,0,0,285,586,0,297,15152,5467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2481,0,0,3686,5120,0,0,0,0,0,0,0,0,0,0,0,267,515,732
15,Barein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
16,Bélgica,0,0,0,0,0,0,0,0,9931,0,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,43,313,0,10796,94
17,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,0
