id,pais,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,Africa do Sul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,196.0,0.0,0.0,166
2,"Alemanha, República Democrática",0.0,238.0,0.0,0.0,7133.0,0.0,0.0,666.0,23605.0,48140.0,61350.0,366738.0,328466.0,185386.0,385539.0,220230.0,411411.0,124679.0,829184.0,482249.0,290735.0,152783.0,97061.0,561420.0,1238319.0,490314.0,207960.0,129009.0,35520.0,398010.0,1599948.0,1959935.0,1729722.0,2318286.0,1832877.0,1971379.0,2042803.0,7448164.0,3991062.0,2235351.0,2151371.0,3597588.0,3085920.0,7774431.0,5173805.0,9810144.0,7545192.0,10084333.0,8704012.0,5343387.0,4163250.0,4031042.0,1772315.0,5803535
3,Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595.0,11078.0,553.0,26903.0,9714.0,0.0,0.0,0.0,6136.0,0.0,75.0,0.0,0.0,0.0,177.0,1316.0,8873.0,2421.0,3855.0,209485.0,202576.0,0.0,0.0,124256.0,139758.0,0.0,0.0,2842.0,0.0,0.0,0.0,0.0,0.0,48.0,220.0,0.0,0.0,0.0,0
4,Antígua e Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,770.0,1317.0,1786.0,1252.0,1433
5,Arabia Saudita,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150994.0,0.0,0.0,45900.0,0.0,0.0,0.0,201960.0,0.0,0.0,43340.0,438962.0,128324.0,17489.0,65899.0,21616
6,Argélia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51640.0,0.0,0.0,0.0,0.0,0
7,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7110.0,188280.0,21900.0,150000.0,0.0,40125.0,79615.0,41501.0,35755.0,32016.0,0.0,0.0,525749.0,3917497.0,6317667.0,3554684.0,1885512.0,2854646.0,2745235.0,4003516.0,7715759.0,7459741.0,6781130.0,642580.0,1181770.0,1135360.0,728217.0,828491.0,1319575.0,2198449.0,1343233.0,1451404.0,736021.0,469543.0,106080.0,0.0,0.0,3497265.0,8629224.0,4015197.0,2945406.0,5710334.0,12370762.0,12057921.0,7499214
8,Áustria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,2809.0,4778.0,4446.0,760.0,3040.0,1158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61
9,Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77676.0,12053.0,12657.0,13666.0,13729.0,24279
10,Bahrein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
