id,pais,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,Africa do Sul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12021,318,2840,1735,1163,39842,52844,45156,143312,158929,185310,132934,116002,58109,28832,90168,89660,18116,43657,74464,77032
2,Alemanha,0,61,5343,6030,3795,1292,3827,1822,1479,4921,1507,2613,218984,408738,6490,0,69878,3800,984,26431,41734,53253,19719,150695,122784,246645,90864,37886,55197,8670,4280,24053,26618,11752,100520,6375,9257,13766,14475,9604,6869,9610,11235,12992,39506,9236,11695,41935,100649,196842,86533,66214,39324,5433
3,Argentina,8816,16354,62210,59438,5866,16852,0,0,390,30000,0,0,0,0,0,0,1260,0,1155,20176,24500,108864,25670,80831,40359,86318,3677,38003,393662,447536,440667,123315,49903,444988,3768236,4079264,6439876,1997516,4109360,3624652,4670364,4816436,4948578,3248178,4028829,2304885,1598759,2911538,3169387,3040330,1774533,2935504,5457043,3604849
4,Austrália,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8838,0,7817,8719,3923,8346,3838,2333,0,219,0,449,0,20406,51297,70929,270116,44293,22616,34270,0,13624
5,Áustria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7436,0,0,0,1319,6770,7050,0,0,0,12866,12840,10308,1524,0,9715
6,Bermudas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681,72,57
7,Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,757,748,11655,2452,0,0,0,0,0
8,Bélgica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51497,0,0,0,0,0,0
9,Brasil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22808,42952,79313,26171,8717,0,63038,59194,373791,54532,45834,54319,5950,186678,729207,253732,109801,4036,0,191
10,Bulgária,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,11,0,719,0,0,0,0,2511,0
11,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113254,0,0,0,1071,302
12,Chile,0,0,393,461,520,1812,26640,1689,121,0,2595,43440,36479,2550,9700,0,1700,932,0,20124,1740,39400,0,6420,17814,97886,64471,16245,27907,83500,42800,60120,26623,55659,74270,130440,123502,208412,318711,205264,311566,315330,622581,601672,733928,1074592,640920,1655135,1628738,1145677,1028760,919414,1302046,2545700
13,Croácia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708,0,0,0,0,0,0,0,0
14,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0
15,Emirados Árabes Unidos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,2109,41325,0,0,0,0,0,0,0
16,Eslovênia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,2774,6133,11601,12203,10660,3057,395,2876,3785,0
17,Espanha,21549,13095,47487,69067,78321,106029,36551,68317,88026,100912,95631,46978,93432,35233,25934,48328,111515,87954,95472,202785,477131,387294,279506,756418,784535,1173325,977503,1179991,1262825,1269010,1158462,7121986,695129,713768,870333,981068,1167152,1258251,1446426,1786034,2417015,3848909,5591461,4768367,5445347,5082911,4114030,7086747,7222945,5903977,5292783,7748980,7904859,13240180
18,Estados Unidos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4836,10675,0,9604,6219,12105,47408,33071,61051,20011,103753,66539,128825,104383,42709,235200,90486,118436,44338,2316,2234,10532
19,França,64256,99168,133085,235549,419505,98419,78168,130005,288294,197397,95371,79577,45337,61571,48902,154124,164723,151139,236926,410697,480876,387306,171404,597658,1811478,1907647,2592492,8617853,9915789,12795135,9736170,445178,6616619,8409381,7514868,9227318,12181453,11939345,11764855,13064445,18475251,21823208,24596623,24364731,22062095,23191636,13188758,16745474,16316766,15602027,9930759,13724629,14433375,21567900
20,Geórgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3240,0
21,Granada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
22,Grécia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,1788,2151,0,433,0,548,0,514,458,2057
23,Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17777,1876,0,0,0,0,0,0,5133,0,0,0
24,Hungria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2512,1552,2432,0,0,0,0,0,0,0,1721,4004,2233,0,7165,8584,7779,1964,2826,3613,5918,0
25,Indonésia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,595,0,0,0,0
26,Irlanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4453,0,0,0,0,0,0,0,0
27,Israel,0,709,0,63,0,0,0,1150,0,550,2020,1345,1361,1019,2600,0,2581,2485,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,5005,8123,7281,18231,8632,27858,8262,0,6691,12617,6862,0,0,0,0,0,0,22120,9836,0,0,0
28,Itália,0,1039,8382,11249,49421,42022,21813,37478,16035,34579,54792,37858,67779,16645,4347,28277,49697,39039,70161,95720,97204,136397,67258,397889,734162,785211,684255,647850,1087234,2176895,1791912,3485490,4505195,3836879,3884558,3972485,5689535,5777722,5526365,3678430,5783574,6104039,6076616,5201867,5558135,4687823,4557610,8701609,8095457,6664487,5069260,4235237,4526542,4486388
29,Luxemburgo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1367,0,0,0,0,0,2110,4585,0,0,0,0
30,México,0,0,0,0,0,0,0,21307,0,0,0,0,0,0,10218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230,0,0,0,0,10488,0,0,872,1237,0,0,0,0
31,Moldávia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6605,2120
32,Nova Zelândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4236,5736,7578,996,3316,2130,3473,1819,0,0,0,729,0,0,3384,0
33,Países Baixos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,47854,155102,0,0,0
34,Panamá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45603,0,0,0,0,0
35,Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282,0,0,0,0,0,0,0,0,0
36,Portugal,3843,5144,31247,69744,45471,5945,11056,2393,29764,28650,13221,652881,553355,505792,263226,493583,905298,502682,529338,23980,33736,15280,15451,26653,60924,49360,62719,173631,21357,60724,54419,65633,66350,74474,129376,52493,181563,219703,336188,195574,401052,371303,459801,397606,377319,282851,410077,615869,655789,765555,426423,342915,495395,481591
37,Reino Unido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4678,0,2774,108665,13189,20284,3270,0,30088
38,Romênia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1754,1016,0,0,0,0,0,2703,6921,4584
39,Suíça,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722,0,4607,0,15703,442,0,34894
40,Tunísia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2961,6023,4687,0,0,0,0,0,0,0,0,0,0
41,Ucrânia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4162,0,0,0,0,0,2946,0
42,Uruguai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55938,41210,12150,0,5886,44975,4977,6822,1620,565,62312,27828,10127,11100,24930,1067,687,0,4378,4592,50743,9000,6562,25224,21032,56164,6785,56518
43,Não consta na tabela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Não declarados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Outros,2150,6130,1030,10078,4800,31057,138,0,0,0,0,21950,11550,9776,8232,1150,7990,0,4400,0,6212,16293,3989,14078,28766,60811,43646,64662,19556,7935,19225,1809,0,0,0,4488,35280,50234,0,3637,0,0,0,0,0,0,0,0,0,0,0,0,0,0
