id,pais,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,Argélia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56222,0,0,0
2,Argentina,3195239,2489638,2744851,649901,1770578,840310,1870850,3039220,3254756,909279,529558,511013,1772048,2258516,398865,334060,457130,1360595,4977714,9481313,11733806,7178477,3386520,1872800,2800911,7792667,9409139,6955659,4723066,3048735,1496603,2232697,6144679,5246763,5372001,5568630,10599996,15543742,19164035,15515182,27485570,33198452,22310778,16369180,7610219,9206099,9702409,5400535,4116213,7871304,4357891,3053394,1824706,925815
3,Brasil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52024,0,0,0,0,0,0,0,0,0,0,0
4,Chile,1967020,1867602,2259233,3431005,3112790,3537851,4927269,4437635,5499059,5433256,2572346,2797928,3797355,2139552,1576019,1022843,2995438,3280465,4283864,12470625,13173348,14929103,5242548,6241020,9678961,30586293,76114880,37332775,48563333,13547152,16997265,11029730,11905244,7397964,4699455,9178137,11776200,14410277,7726490,23674267,28825838,46093268,58779201,67859257,73253732,61210820,49192152,47759076,41340936,22533386,11930076,9292886,16177254,15883702
5,Colômbia,0,5480,0,100743,217782,530028,545290,859723,392678,479284,148923,105485,222246,113140,9900,0,0,0,0,0,215485,77990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Egito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81469,0
7,Espanha,1635627,1805381,827314,646821,650944,172200,0,0,0,110600,0,0,0,0,84000,0,0,0,0,0,0,0,0,0,0,0,0,34000,141777,180376,229906,162188,68606,0,18810,226364,766666,296999,106254,378139,538170,2888292,1072576,752294,1117704,402722,1060138,647925,247741,160250,0,0,0,0
8,Estados Unidos,134279,18163,26230,198860,99209,83490,39194,52861,32764,62854,333168,38468,12650,24150,16550,14445,29430,49240,78480,118537,1674526,335722,260856,711889,3168288,4954754,5129119,4499538,1743710,196966,243676,112286,38249,50861,32155,5358,158104,260152,338578,404094,330703,19553,117909,285622,217564,81769,24615,19220,56081,11824,0,0,0,0
9,Grécia,151736,89640,71509,125000,0,0,0,0,0,0,0,122000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Itália,0,11155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43483,0,0,54850,629113,1598034,3315646,3377142,3502383,2909244,1592531,2230741,944789,1612664,0,0,0,0
11,México,34264,16800,0,4000,0,0,0,0,0,113962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13052,0,0,0,66030,0,0,0,0,0,0,0,0,58690,124844,1458137,835739,561651,1041266,582843,441262,0,0,0,0,0,0,1316923,0
12,Peru,0,0,0,0,0,0,0,0,2925,0,6125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3094,0,0,0,0,0,0,0,0,0,211396,1602024,820403,1466571,2526810,9814399,7531491,12046417,7283488,2883512,4448793,1339936,227587,0,3721520
13,Paraguai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100008,0,183333,0,10218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Portugal,42022,1238,3069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20400,0,0,0,0,0,0,0,0,0,0,20223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Panamá,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Reino Unido,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Uruguai,0,0,0,9320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970000,0,16823,15500,1872,7120,37950,53810,49472,50280,17426,2040,0,0,0,0,0,5800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Venezuela,0,911,10922,13857,10245,33191,1668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,46062,310018,83482,28174,3165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Não consta na tabela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Outros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35736,0,7254,329,203450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
