id,pais,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,Afeganistão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46050,1069059,0,50600,1245790,304545,0,0,0,105452,0,484,0,0
2,África do Sul,0,0,0,0,0,126360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44934,520191,190683,90069,342897,192517,155513,0,41135,46050,315177,1673358,758360,2737858,781173,4513833,0,5727892,4696172,2104582,1312942,4195752,1034796,2050069,858327,1924459,549325
3,"Alemanha, República Democrática",0,0,6366,0,0,32271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,34,60,202128,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Arábia Saudita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Argentina,2375126,2142958,2029130,3125575,2159197,2726086,5305307,5213616,5068283,5525891,5293186,3495274,3614798,3714992,3289031,2939552,4632540,6000197,15636621,13158324,7399288,9658697,7084802,4852214,9868116,8881366,15519233,14109532,10494327,8294458,7253654,5079148,17716365,12191101,26394493,22650529,26365381,34390801,42636018,41316212,51779192,63795794,63377719,67676532,48730609,53246909,57924729,54165401,67065915,72945932,61736498,57353429,56488743,56162763
6,Austrália,0,0,141844,0,177321,126602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Bélgica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157984,38313,329322,71916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Chile,5040,0,0,125989,0,1270572,1225788,1722861,2034549,3655695,1584606,974935,2534338,2786111,2152316,3339618,5460455,5664842,5025093,10864838,6974827,10954522,6966928,10392524,14296649,41387248,14227541,10401205,10090617,9668927,10710881,6543105,2128359,11294633,2133740,1270304,8378674,2654766,5773092,10968326,2475511,3741342,7095971,1577273,8387145,2270361,979224,1454909,418003,1480613,853971,688485,9108807,11518724
9,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350472,186,0,183390
10,China Continental,0,0,0,30210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,398669,0,0,58520,70300,279812,293250,240378,0,0,118028,503418,2286954,0,0,0,0
11,Cingapura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135722,0,117213,0,0,0,0,0,0,0,0,0,0
12,Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144550,0
13,Emirados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397404,0,72181,103433,84331,193003,43966,0,33619,59190,40750,531941,680955,993358,419373,0,329420,133203,64949,136091,89026,683425,284835,135856,0,0,0,0,0,0,0,0
14,Espanha,29584,29403,117159,314234,24140,22995,7320,0,13850,8736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11312,1496,29763,31695,1368,1399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0
