id,pais,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,Africa do Sul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230982,0,0,2690,0,0,1865,0,0,3000,19699,18001,21389,25340,21239,69082,73401,146227,136012,83593,26334,12995,39580,39952,0,0,0,0,0
2,Alemanha,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3667,5536,11727,9199,35273,4781,0,0,0,0,0,0,2391,0,0,0,129800,0,0,0,0,0,0,53188,82442,0,732,0,0,0,0,0
3,Argentina,0,0,0,4950,13700,11,0,0,5640,0,0,0,0,0,0,0,2288299,6125347,387642,3240966,3243395,1006504,17000,6490,0,1257937,1880860,5224758,4052527,3849066,3681588,2249183,0,3231132,1508747,1845192,3310250,2393270,0,0,246240,0,0,0,0,0,139926,163418,6137,0,0,0,0,0
4,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1548,0,0,51239,0,0,0,0,0,0,0,0,0,0,0,0,6518,0,0,0,0,0,2800,0,1321,0,0,0,0
5,Canadá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,0,24286,38599,29789,1686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Coreia do Sul, República",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275473,0,0,554002,203062,6941,10900,0,7545,6149,9744,0,0,1005,33910,33177,267282,1119609,404048,27439,134857,74546,70203,177396,0,0,0,0,0
7,"Coreia do Norte, República",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105405,45513,20622,27460,0,0,0,0,0,0,0,0,0,0,0,0,41402,38272,0,0,0,0,0,0,0,0
8,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179000,182500,0,7990,260400,986883,851162,251909,0,389,0,2893798,55350,0,0,0,0,517500,230000,0,4018445,0,0,0,0,52814,278465,0,0,0,0,0,0,0
9,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6803,0,0,5915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4573,0,0,0,0,0,0
10,Dinamarca,0,50,28,118,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Espanha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7453,4013,4153,6766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17803,0,0,0,0,1228,0,0,0,0,0
12,Estados Unidos,0,987,0,14,1137,4223,4007,0,0,0,0,0,0,0,0,0,0,4234,0,4308,0,24341,0,6637,9925,252042,27613,24453,28044,16634,30092,17920,0,8091,24212,21174,46708,5632,23353,37244,28450,26353,23238,66766,0,52343,176935,73245,22767,23366,53598,7421,46195,43827
13,França,0,129,68,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136464,66,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3091,0,0,0,0,0,0,0,0
14,Guiana,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Israel,0,0,0,0,26,337,630,0,0,0,0,0,0,0,0,0,0,0,474,948,0,1064,788,829,430,322,6562,5188,17880,656,2240,3362,0,0,6366,14019,7331,4822,2451,2683,2809,0,3160,7359,0,7226,2856,12739,1874,6969,0,1689,0,0
16,itália,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179775,0,996,2368,5415,0,0,0,0,0,3802
17,Japão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,1600,1400,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Líbano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,México,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4013,80856,776329,2782759,422394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Países Baixos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Panamá,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19146,75497,0,0,0,0,0,0
23,Portugal,0,269,207,2134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4947,0,0,0,0,10076,0,0,0,0,0,0
24,Reino Unido,0,0,647,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2648,0,0,0,0,0,0,0,0,0,0,0,0
25,Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2666,6000,3334,0,0,0,0,0,0,0,0,0
26,Turquia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21656,0,23644,8898,0,47277,0,0,0,0,0,0
27,Uruguai,0,0,0,0,0,0,19500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3940,0,0,0,0,0,0,0,0,0,0,0,0,3922,10775,0,0,0,0,0,0,825,0,0,0,0,0
28,Venezuela,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Outros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26103,58497,133534,394070,765256,0,4881,3915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
