id,pais,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,Africa do Sul,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141862,138511,462940,968590,1182834,1522902,1706669,1467079,2424542,4566934,2643903,3763776,2460515,3756647,3739878,2265055,4380030,4701424,4696080,2328222,3367309,3004943,2255583
2,Alemanha,82795.0,60633,226541,210161,421675,284285,339442,362766,1106462,1124882,1161340,1561024,2123876,1758435,1150774,2192155,5365850,3171443,4786688,6959882,9217902,7641730,6159612,12876975,27116238,31677490,19310103,9975232,7848111,7115911,2833263,2078949,1589407,1202862,970825,636284,949619,881632,1357760,347951,977335,1131570,704410,528936,599120,453446,764719,399248,659946,513849,641160,653508,531195,660403
3,Argélia,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0
4,Arábia Saudita,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,3812,0,0,11271,0,169
5,Argentina,31785.0,39964,163043,193008,383403,236678,626160,804014,1323947,1535919,777935,340911,456459,321259,107041,278994,413091,235695,1005689,1869647,1177172,2346090,1260564,1154610,1176406,3389987,2217084,3102865,4368965,7760651,9281485,8781823,10761805,15373658,27345095,32468964,37762567,51781720,51800342,52424481,69091847,75480227,70247401,62257509,67253277,60508242,59312871,67232582,68038960,71076311,88933199,106397200,115500216,109195129
6,Armênia,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16053,27878
7,Austrália,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576989,816050,595609,470757,753830,1225388,1314084,1946972,1463806,1269588,2270117,3635713,3090117,2257005,1245593,1656840,2036349,1601186,25182,1230935,1004646,1749968,2169338,2001379
8,Áustria,2035.0,0,873,4391,12695,14395,0,0,986,8006,8263,0,0,15981,0,16846,5248,10170,8845,0,0,27838,0,8708,6522,7285,0,14998,68304,745034,0,770,0,0,25847,19009,9710,36935,84736,13968,32404,62584,93214,284053,34886,4251,9036,27284,2081861,476668,58888,155249,61377,162307
9,Bermudas,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,5,885
10,Bélgica,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51275,2273,0,0,0,109166,50262,28983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,49597,1364,37,0,0,0,0
11,Bolívia,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12090
12,Bósnia-Herzegovina,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2120,0,0,0
13,Brasil,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18300,23048,15457,23146,2078,0,239,1257,16067,6220,6460,14278,2310,1105752,139846,275303,45560,52418,6,83123
14,Bulgária,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115724,3624,0,27935,61876,68922,73030,103518,33716,20859,81429,139808,73150,135513
15,Canada,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31353,0,0,37354,0,0,27488,0,0,0,17719,0,0,0,12491,1076
16,Chile,264189.0,126646,257390,513699,980576,1717013,3750124,4555912,7158687,8551218,5767951,3992595,1910288,1379874,1017393,2309816,2764003,1922994,2714538,4696409,3564692,3294085,2495003,4289679,6169862,6787912,5238234,8405095,9208152,13069402,17656162,16282894,17827145,24076504,33655759,37292461,51875449,66526468,69410999,83857438,99418133,111595389,123574530,118569468,148854763,144371250,166584070,197416503,195836035,198168402,249266685,252185685,253216567,232505012
17,China,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,4694,39596,0,0,0,0,0,0,0,321,1613,477,2775,0,0,0,0
18,"Coreia do Sul, República",0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Croácia,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12838,17201,0,0,5848,0,0,0,3350,0,96297,36450,10267
20,Cuba,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269
21,Emirados Árabes Unidos,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,10622,37664,0,0,0,0,0,0,0
22,Eslovênia,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66202,1656,27499,27567,28830,61338,0,89497,132158,51163,215085,159235,153089
23,Eslováquia,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5183,86252,28738,3619,0,0,0,0
24,Espanha,351285.0,190698,417292,343940,577785,297710,93474,203905,163131,196301,220658,116012,224538,126411,15621,121757,113559,173078,175598,185125,635514,222590,196008,177198,529130,1054674,1449981,1494230,1698860,2302842,2230662,2985572,1938806,2131695,2695746,3012633,5260832,5368903,7027094,7343727,10320924,13175606,14265155,16342978,15558550,14421388,16170126,27074986,24948899,22909416,26971445,32589527,23674796,26688856
25,Estados Unidos,0.0,1105,3493,0,0,4726,4375,5525,125802,68760,69120,61793,93546,46224,0,26830,15014,34482,14000,67790,170409,87825,61388,255385,306673,456247,730130,1633697,1266361,1667036,1326140,1410791,497606,622171,334859,298241,416761,413580,608287,788218,1539695,2126707,2375258,3335974,4960504,4623886,3650135,5482988,3133436,2935700,2485818,3316054,3416431,2019989
26,França,169679.0,161692,349689,694701,781759,470292,708309,799016,988390,1253373,756376,782490,738729,596136,255243,1275652,1606175,994096,1160122,2124273,2286542,2373793,1244663,3056538,5756523,7069423,6288040,12160322,15881279,13652287,11899584,11086890,8415976,8051991,8294068,7454911,13069570,17459716,18741985,19265562,21577684,26246449,24817615,26601653,31073157,22970421,19771907,31201983,27341894,29623907,30552533,37669498,30867135,35320903
27,Geórgia,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167952,0,0,0,0,28580,62909,63222,52089,39489,46257
28,"Geórgia do Sul e Sandwich do Sul, Ilhas",0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4753,4585,0
29,Grécia,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2120,155977,89853,242550,238810,496536,392172,84416,131439,245865,25205,180261,176786,92132,280473,68847,193955,193613
30,Hong Kong,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3087,0,0,0
31,Hungria,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53040,37867,64473,65072,97152,106002,100258,176154,271313,179266,151109,133343,79805,67071,192166,137147,181091,30504,180990,189428,358386
32,Indonésia,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,246,1722,0,0,0,0
33,Irlanda,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,1061,1884,0,0,0,0
